Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
 Na,711.3208,1,0.000432,2,2,4.934,3.191,2.78E-10,2.34E-10
 Na,416.057,1,0.000576,2,4,5.084,2.104,2.69E-10,2.32E-10
 Na,694.39549,1,0.000223,4,2,4.976,3.191,2.62E-10,2.22E-10
 Na,879.30809,1,0.000163,6,6,5.027,3.617,2.58E-10,2.20E-10
 Na,418.022,1,0.000258,4,4,5.07,2.104,2.48E-10,2.14E-10
 Na,249.071261,1,0.000189,4,2,4.976,0,2.22E-10,1.88E-10
 Na,415.175,1,0.000478,2,4,5.09,2.104,2.20E-10,1.90E-10
 Na,960.0813,1,0.000214,4,4,5.044,3.753,2.17E-10,1.86E-10
 Na,978.6606,1,0.000402,2,2,5.019,3.753,2.15E-10,1.84E-10
 Na,247.553565,1,0.000194,4,2,5.007,0,2.13E-10,1.82E-10
 Na,251.215497,1,0.00031,2,2,4.934,0,2.00E-10,1.68E-10
 Na,416.767,1,0.000209,4,4,5.078,2.104,1.97E-10,1.70E-10
 Na,414.403,1,0.000401,2,4,5.095,2.104,1.83E-10,1.58E-10
 Na,963.6693,1,0.000333,2,2,5.039,3.753,1.71E-10,1.47E-10
